Brewery Name,Type of Brewery,City,State,Country,Brewery ID,Beer Name,Style of Beer,abv
18th Street Brewery,micro,Gary,Indiana,United States,177,Devil's Cup,American Pale Ale (APA),0.066
18th Street Brewery,micro,Gary,Indiana,United States,177,Rise of the Phoenix,American IPA,0.071
18th Street Brewery,micro,Gary,Indiana,United States,177,Sinister,American Double / Imperial IPA,0.09
18th Street Brewery,micro,Gary,Indiana,United States,177,Sex and Candy,American IPA,0.075
18th Street Brewery,micro,Gary,Indiana,United States,177,Black Exodus,Oatmeal Stout,0.077
18th Street Brewery,micro,Gary,Indiana,United States,177,Lake Street Express,American Pale Ale (APA),0.045
18th Street Brewery,micro,Gary,Indiana,United States,177,Foreman,American Porter,0.065
18th Street Brewery,micro,Gary,Indiana,United States,177,Jade,American Pale Ale (APA),0.055
18th Street Brewery,micro,Gary,Indiana,United States,177,Cone Crusher,American Double / Imperial IPA,0.086
18th Street Brewery,micro,Gary,Indiana,United States,177,Sophomoric Saison,Saison / Farmhouse Ale,0.07200000000000001
18th Street Brewery,micro,Gary,Indiana,United States,177,Regional Ring Of Fire,Saison / Farmhouse Ale,0.073
18th Street Brewery,micro,Gary,Indiana,United States,177,Garce Selé,Saison / Farmhouse Ale,0.069
18th Street Brewery,micro,Gary,Indiana,United States,177,Troll Destroyer,Belgian IPA,0.085
18th Street Brewery,micro,Gary,Indiana,United States,177,Bitter Bitch,American Pale Ale (APA),0.061
18th Street Brewery,micro,Hammond,Indiana,United States,177,Devil's Cup,American Pale Ale (APA),0.066
18th Street Brewery,micro,Hammond,Indiana,United States,177,Rise of the Phoenix,American IPA,0.071
18th Street Brewery,micro,Hammond,Indiana,United States,177,Sinister,American Double / Imperial IPA,0.09
18th Street Brewery,micro,Hammond,Indiana,United States,177,Sex and Candy,American IPA,0.075
18th Street Brewery,micro,Hammond,Indiana,United States,177,Black Exodus,Oatmeal Stout,0.077
18th Street Brewery,micro,Hammond,Indiana,United States,177,Lake Street Express,American Pale Ale (APA),0.045
18th Street Brewery,micro,Hammond,Indiana,United States,177,Foreman,American Porter,0.065
18th Street Brewery,micro,Hammond,Indiana,United States,177,Jade,American Pale Ale (APA),0.055
18th Street Brewery,micro,Hammond,Indiana,United States,177,Cone Crusher,American Double / Imperial IPA,0.086
18th Street Brewery,micro,Hammond,Indiana,United States,177,Sophomoric Saison,Saison / Farmhouse Ale,0.07200000000000001
18th Street Brewery,micro,Hammond,Indiana,United States,177,Regional Ring Of Fire,Saison / Farmhouse Ale,0.073
18th Street Brewery,micro,Hammond,Indiana,United States,177,Garce Selé,Saison / Farmhouse Ale,0.069
18th Street Brewery,micro,Hammond,Indiana,United States,177,Troll Destroyer,Belgian IPA,0.085
18th Street Brewery,micro,Hammond,Indiana,United States,177,Bitter Bitch,American Pale Ale (APA),0.061
21st Amendment Brewery,regional,San Leandro,California,United States,368,He Said Baltic-Style Porter,Baltic Porter,0.08199999999999999
21st Amendment Brewery,regional,San Leandro,California,United States,368,He Said Belgian-Style Tripel,Tripel,0.08199999999999999
21st Amendment Brewery,regional,San Leandro,California,United States,368,Lower De Boom,American Barleywine,0.099
21st Amendment Brewery,regional,San Leandro,California,United States,368,Fireside Chat,Winter Warmer,0.079
21st Amendment Brewery,regional,San Leandro,California,United States,368,Marooned On Hog Island,American Stout,0.079
21st Amendment Brewery,regional,San Leandro,California,United States,368,Bitter American,American Pale Ale (APA),0.044
21st Amendment Brewery,regional,San Leandro,California,United States,368,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,0.049
21st Amendment Brewery,regional,San Leandro,California,United States,368,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,0.049
21st Amendment Brewery,regional,San Leandro,California,United States,368,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,0.049
21st Amendment Brewery,regional,San Leandro,California,United States,368,21st Amendment IPA (2006),American IPA,0.07
21st Amendment Brewery,regional,San Leandro,California,United States,368,Brew Free! or Die IPA (2008),American IPA,0.07
21st Amendment Brewery,regional,San Leandro,California,United States,368,Brew Free! or Die IPA (2009),American IPA,0.07
21st Amendment Brewery,regional,San Leandro,California,United States,368,Special Edition: Allies Win The War!,English Strong Ale,0.085
21st Amendment Brewery,regional,San Leandro,California,United States,368,Hop Crisis,American Double / Imperial IPA,0.097
21st Amendment Brewery,regional,San Leandro,California,United States,368,Bitter American (2011),American Pale Ale (APA),0.044
21st Amendment Brewery,regional,San Leandro,California,United States,368,Fireside Chat (2010),Winter Warmer,0.079
21st Amendment Brewery,regional,San Leandro,California,United States,368,Back in Black,American Black Ale,0.068
21st Amendment Brewery,regional,San Leandro,California,United States,368,Monk's Blood,Belgian Dark Ale,0.083
21st Amendment Brewery,regional,San Leandro,California,United States,368,Brew Free! or Die IPA,American IPA,0.07
21st Amendment Brewery,regional,San Leandro,California,United States,368,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,0.049
3 Daughters Brewing,micro,Saint Petersburg,Florida,United States,67,Bimini Twist,American IPA,0.07
3 Daughters Brewing,micro,Saint Petersburg,Florida,United States,67,Beach Blonde,American Blonde Ale,0.05
3 Daughters Brewing,micro,Saint Petersburg,Florida,United States,67,Rod Bender Red,American Amber / Red Ale,0.059
Against the Grain Brewery,micro,Louisville,Kentucky,United States,1,Citra Ass Down,American Double / Imperial IPA,0.08
Against the Grain Brewery,micro,Louisville,Kentucky,United States,1,London Balling,English Barleywine,0.125
Against the Grain Brewery,micro,Louisville,Kentucky,United States,1,35 K,Milk / Sweet Stout,0.077
Against the Grain Brewery,micro,Louisville,Kentucky,United States,1,A Beer,American Pale Ale (APA),0.042
Against the Grain Brewery,micro,Louisville,Kentucky,United States,1,Rules are Rules,German Pilsener,0.05
Against the Grain Brewery,micro,Louisville,Kentucky,United States,1,Flesh Gourd'n,Pumpkin Ale,0.066
Against the Grain Brewery,micro,Louisville,Kentucky,United States,1,Sho'nuff,Belgian Pale Ale,0.04
Against the Grain Brewery,micro,Louisville,Kentucky,United States,1,Bloody Show,American Pilsner,0.055
